Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
186,0,-15.0466,21.73,-456.044,93176.6,2264.23,-4285.36,4.96521,-204.315,0
187,0,-14.7035,22.8933,-456.901,93564.2,1814.62,-4370.72,3.97187,-204.78,0
188,0,-14.7469,23.7725,-458.953,94051.7,1650.7,-4315.08,3.59695,-204.926,0
189,0,-14.5543,24.7219,-461.712,94648.2,1471,-4358.97,3.18656,-204.994,0
190,0,-14.9342,26.0099,-463.215,94940.6,1064.02,-4172.44,2.29732,-204.96,0
191,0,-16.2454,27.2073,-464.018,95056.8,763.317,-4056.59,1.64487,-204.856,0
192,0,-17.332,28.8192,-463.407,94885.8,468.225,-4054.46,1.01028,-204.757,0
193,0,-17.4159,29.0034,-462.731,94697.7,365.813,-3998.85,0.790554,-204.65,0
194,0,-17.022,29.8039,-462.387,94507.9,480.523,-3985.47,1.03948,-204.391,0
195,0,-16.1765,31.0263,-460.118,93898.1,684.244,-3669.81,1.48789,-204.073,0
196,0,-15.1397,32.4385,-452.241,92038.5,883.986,-3238.28,1.95946,-203.513,0
197,0,-14.5183,33.682,-430.448,87404.9,1092.83,-2724.9,2.54147,-203.053,0
198,0,-13.9431,33.5972,-389.858,79105.9,1077.84,-2179.86,2.77523,-202.91,0
199,0,-12.0776,32.2422,-333.212,67617.6,1170.38,-1567.21,3.5865,-202.926,0
200,0,-9.01901,29.7415,-266.674,54083.5,1466.31,-1086.13,5.5705,-202.785,0
201,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
251,0,0.264779,1.00002,-5.55467,1072.96,-197.398,-61.4497,-8.03112,-43.6535,0
252,0,0.780798,4.71602,-27.2535,5293.02,-924.957,-353.252,-34.3413,-193.95,0
253,0,-1.69086,5.85162,-41.0353,8070.65,-1087.91,-938.826,-27.5503,-196.667,0
254,0,-5.92779,7.23504,-65.726,13007.7,-617.877,-2085.93,-12.2206,-197.54,0
255,0,-5.62687,11.4439,-106.666,21372.5,1413.74,-2105.37,12.0987,-200.342,0
256,0,-0.820407,16.3119,-151.657,30391.8,3755.16,-1133.25,24.5976,-200.434,0
257,0,-3.69231,21.2012,-189.478,37877.6,5095.24,-1754.2,26.9554,-199.896,0
258,0,-9.30851,25.5153,-224.66,44981.5,5604.06,-2959.59,24.9945,-200.209,0
259,0,-11.3472,28.3115,-264.228,53016.4,6297.98,-3084.89,23.8236,-200.632,0
260,0,-12.8512,29.897,-303.004,60918.1,7260.45,-3308.81,23.9761,-201.047,0
261,0,-13.8661,30.8922,-332.421,66844.8,7676.74,-3675.91,23.1068,-201.082,0
262,0,-15.3837,30.5987,-356.807,71839.4,7895.88,-3806.23,22.1373,-201.333,0
263,0,-15.3524,29.985,-384.167,77504.3,8357.62,-3679.1,21.749,-201.745,0
264,0,-14.3119,29.6757,-415.735,83970.9,9209.57,-3389.06,22.1486,-201.974,0
265,0,-12.8094,28.8493,-446.891,90479,10021.1,-3280.33,22.4218,-202.461,0
266,0,-12.3141,29.2768,-473.662,95885.1,10643.2,-3169.87,22.4734,-202.439,0
267,0,-11.7993,29.7605,-488.907,98579.2,10595.3,-3012.11,21.6732,-201.633,0
268,0,-13.0078,30.3191,-488.81,98115.9,9560.37,-3101.51,19.548,-200.722,0
269,0,-14.6808,30.0657,-478.758,95723.8,7938.91,-3391.73,16.5707,-199.938,0
270,0,-15.3484,28.568,-467.792,93127.8,6400.64,-3737.43,13.6709,-199.078,0
271,0,-14.7582,27.1416,-456.976,90788.3,4992.3,-3746.54,10.9156,-198.67,0
272,0,-13.9546,26.4691,-449.398,89039.3,3766.27,-4020,8.37794,-198.129,0
273,0,-14.5361,26.9673,-446.194,88276.1,2886.19,-3896.69,6.46755,-197.842,0
274,0,-14.7597,26.782,-445.412,88142.6,1951.95,-4073.13,4.3828,-197.89,0
275,0,-16.1062,26.0839,-445.966,88388.2,986.236,-4426.39,2.21198,-198.194,0
276,0,-17.8622,25.0983,-446.843,89008.6,223.076,-4838.44,0.499784,-199.194,0
277,0,-19.1652,23.9378,-448.182,89685.5,-170.799,-5410.02,-0.380915,-200.11,0
278,0,-19.1327,22.8933,-448.004,89959.3,-476.684,-5667.39,-1.06484,-200.801,0
279,0,-19.347,22.9593,-444.918,89733.1,-708.374,-5904.04,-1.59213,-201.685,0
280,0,-19.8229,22.662,-441.874,89386.6,-638.042,-6312.18,-1.44312,-202.29,0
281,0,-20.4046,22.5345,-438.655,88946.5,-285.726,-6238.87,-0.649892,-202.771,0
282,0,-20.0166,22.4676,-436.029,88520,301.385,-6385.02,0.692334,-203.014,0
283,0,-19.5053,23.2293,-434.641,88310.2,943.169,-6022.78,2.16857,-203.18,0
284,0,-18.8675,24.8332,-436.874,88703.5,1983.78,-5799.19,4.53583,-203.042,0
285,0,-17.6084,24.9102,-442.172,89701,3387.93,-5371.8,7.64902,-202.865,0
286,0,-15.7882,24.7538,-450.833,91379.3,5216.04,-5170.44,11.5559,-202.69,0
287,0,-14.2711,26.0385,-460.01,93197.3,6941.92,-4695.86,15.0831,-202.6,0
288,0,-13.2142,27.1655,-467.199,94477.2,8173.82,-4217.24,17.4924,-202.22,0
289,0,-12.2776,29.6155,-471.782,95370.6,9104.83,-3684.26,19.2957,-202.15,0
290,0,-12.0138,31.7893,-474.887,95885.4,10095.9,-3461.85,21.2595,-201.912,0
291,0,-12.1127,34.2409,-474.057,95579,10826.2,-3029.4,22.8403,-201.619,0
292,0,-10.091,36.1517,-469.152,94429.1,11790.1,-2614.64,25.1385,-201.276,0
293,0,-7.18096,37.3622,-457.66,92022.1,12605.2,-2056.87,27.5643,-201.068,0
294,0,-4.86162,37.7758,-434.038,87140,13137.4,-1481.35,30.2976,-200.763,0
295,0,-3.1985,35.6989,-393.161,78873.3,12680.2,-659.717,32.3007,-200.611,0
296,0,-1.89313,32.7443,-340.548,68238,11673.8,-82.8202,34.3219,-200.353,0
297,0,0.149685,29.5236,-277.987,55446.8,9875.63,219.162,35.559,-199.391,0
298,0,2.31371,26.4352,-211.362,41768.2,7548.18,592.186,35.5446,-197.447,0
299,0,3.24404,20.3596,-141.744,27576.7,4484.69,354.244,30.6562,-194.181,0
300,0,3.41442,13.4929,-76.9748,14571.1,1457.06,-374.746,16.1804,-187.78,0
301,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
351,0,-0.0865741,0.285637,-5.29156,1001.14,-205.945,-76.5494,-8.48063,-41.2262,0
352,0,-0.283771,1.47268,-27.1678,5195.63,-1043.62,-314.557,-38.5535,-190.678,0
353,0,-0.507158,1.98115,-41.5107,8155.19,-1495.26,-394.745,-36.3336,-196.341,0
354,0,-3.98669,1.8669,-62.5395,12410.8,-1840.82,-1429.16,-30.4484,-198.206,0
355,0,-7.3782,3.282,-97.0095,19532.9,-1421.03,-2229.58,-16.4098,-201.105,0
356,0,-3.06714,7.85917,-144.986,29431.7,543.805,-1281.99,2.97866,-203.08,0
357,0,-0.574595,13.9027,-190.6,38480.8,2765.91,-255.939,14.3879,-201.9,0
358,0,-3.2822,18.5522,-223.88,45121.5,4030.81,-747.676,17.9654,-201.562,0
359,0,-5.94902,22.3309,-258.386,51866.3,5079.23,-1369.05,19.6062,-200.759,0
360,0,-5.30134,25.8185,-301.357,60245.4,6468.76,-1031.29,21.4218,-199.924,0
